tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results	no					no	no
2	this is fucking bullshit	no					no	no
3	Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.	no					no	no
4	No offense but the corona virus disappearing before April actually sucks	no					no	no
5	This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.  I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 URL	yes	no	yes	no	yes	no	no
6	Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice	yes	no	no	no	no	no	no
7	After COVID-19 is over, I better NEVER hear anyone trash “low end” workers again. Those people at the grocery store, the Dollar General workers, those fast food workers, the Walmart employees, those people you didn't even think deserved to have a wage to survive on?	no					no	no
8	This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan.   He knew there was no PPE. He persisted anyways.  Today he lost his own battle with coronavirus but he gave life and hope to so many more.   KNOW HIS NAME 😭❤ URL	yes	no	yes	no	no	no	no
9	fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost	yes	yes	yes	yes	no	yes	yes
10	When this Corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020	no					no	no
11	So shortness of breath is a corona symptom right but you know what also gives me shortness of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have corona.	no					no	yes
12	So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong.   I want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...	yes	no	yes	no	yes	no	yes
13	My mum has a PhD on Corona Virus from WhatsApp University	yes	yes	no	no	no	no	no
14	He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go	yes		yes	yes	yes	yes	yes
15	future grandson: “hey grandpa want a corona?”  me: URL	no					no	no
16	Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - URL	yes	no	yes	no	yes	no	yes
17	tw suicide, COVID-19  Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.  There's a mental health epidemic happening, and we're gonna start seeing-	yes	no	yes	no	no	no	yes
18	Celebrities keep trying to sing the virus away like this is a Disney movie or something	no					no	no
19	maybe if i develop feelings for covid-19 it will leave	no					no	no
20	THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 URL	yes	no	yes	no	yes	no	yes
21	My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning.	no					no	no
22	I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times.   Still caught corona from him.   Do not fuck around with this thing.	yes	no	yes	no	no	no	no
23	I do not understand how mcdonalds can serve two billion hamburgers every year but when I order five million at the drive thru it overwhelms the system	no					no	no
24	Bro China is out here reading niggas power levels and we cant even get adequate testing 🧐	no					no	yes
25	When this corona shit is over please invite me out. I know I be flaky sometimes but my ass is going to come outside I promise lol	no					no	no
26	Y’all miss your ex, I miss life without the corona virus	no					no	no
27	“I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.” This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. URL	no					no	yes
28	Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.	yes	no	yes	no	yes	no	yes
29	Day 5: We have rediscovered farming	no					no	no
30	This Corona virus will pass by mid April !! Speaking it into existence	yes	yes	yes	no	no	no	no
31	Thank you everyone for your incredible messages of support and encouragement.♥️  Many of you asked what it was like in the ER right now. I want to share a bit with you. Please RT:  A Day in the Life of an ER Doc - A Brief Dispatch from the #COVID19 Frontline:	no					no	no
32	My fellow citizens,   THERE IS ABSOLUTELY NO NEED TO PANIC.  Essential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this.  Together, we will fight COVID-19 and create a healthier India.   Jai Hind!	yes	no	yes	no	yes	no	no
33	Dogs when they found out their owners can’t leave because of the corona virus URL	no					no	no
34	no.. one...  cleans like Gaston quarantines like Gaston no one stops spreading COVID-19 like Gaston	yes	yes	no	no	no	no	no
35	This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. URL	yes	no	yes	yes	yes	no	yes
36	My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. “I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers.” #Covid19 #coronavirus URL	no					no	no
37	COVID-19  Finally, some sensible advice from a Nurse  “What I have seen a lot of are recommendations for how to try to avoid getting coronavirus in the first place -- good hand washing, personal hygiene and social distancing -- but what I have NOT seen a lot of is advice for...	no					no	no
38	Corona Virus isn't real, the government just wants everyone inside for two weeks so they can change the batteries in the birds.	yes	yes	no	no	no	no	no
39	day 6 of quarantine: my dad gave a talk to the cats about covid-19 😭😭😭😭😭😭😭😭 URL	no					no	no
40	This is Generation Z.   I want to name that because folks love calling everybody 40 and under Millennials.  Millennials are not at Spring Break.  Millennials are at home yelling at their Boomer parents who won’t sit still because they have “faith over fear”.	yes	no	no	no	no	no	no
41	“hey guys happy self quarantine. The corona virus is a real thing.”  wow I had no idea! thanks Kylie! URL	no					no	no
42	The World Health Organization warns young people: “You are not invincible.”   COVID-19 could “put you in hospital for weeks, or even kill you. Even if you don’t get sick, the choices you make about where you go could be the difference between life and death for someone else.”	yes	no	yes	no	no	no	yes
43	This man hospital bill bout to be so much.	yes	no	no	no	no	no	no
44	Video of a hospital in Spain. Watch it. Watch it again with the volume up.  Now cancel that brunch.  Postpone that coffee meet-up.  Rain check that dinner with friends.  Sucks doesn’t it? But not as hard as this 👇 #COVIDー19 #coronavirus #StayAtHome   URL	no					yes	yes
45	When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up with this himself! I’m so impressed. #coronavirus #StayHomeStaySafe URL	no					no	no
46	Covid-19 might be big, but I just want to remind y’all that our God is BIGGER.✨	no					no	no
47	CDC just announced that corona can be spread via Instagram story challenges :-/	yes	yes	no	no	no	no	no
48	Katie Porter's sister, a doctor, is breaking down how staying in can save lives during the COVID-19 crisis URL	yes	no	yes	no	no	no	no
49	Anybody else just randomly yell “Corona Virus” in Cardi’s voice ?	no					no	no
50	These workers need protection, healthcare, and sick pay—regardless of citizenship status. Their services are ESSENTIAL and there needs to be more aggressive dialogue around this issue. WHAT WOULD LIFE LOOK LIKE WITHOUT THEM? I don’t want to know!	no					no	yes
51	me: h-  my mom with her phd in corona virus after graduating from whatsapp threads: URL	no					no	no
52	Check out BTS’ message of hope to overcome #COVID19 by looking after each other! We invite Son Heung-min to continue the message!  URL  #StayConnected #StayStrong_ARMY #힘내세요_아미 #우리의응원을이어주세요 #BTSLoveMyself #ENDviolence	no					no	no
53	White People: COVID-19  Black Folks: the RONA   Gay People : Miss Rona   😭☠️	no					yes	no
54	corona sis you leaving by may right? URL	no					no	no
55	wow...taken this morning....never seen Vegas this empty before tbh #coronavirus URL	no					no	no
56	There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (including me) complaining of what we now know as the symptoms for corona.	yes		yes	yes	yes	no	yes
57	So, due to COVID-19 fucking everything up, i thought 'Why dont we have a Twitter prom?'   So, without further ado, i invite you all the My twitter prom! You can ask someone to go with you as a friend or as a partner. The prom will be held on the 25th of March.   Interact to join!	no					no	no
