tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	For the average American the best way to say if you have covid-19 is tossit in a rich person face and waits for test results	no					no	no
2	It's shit.	no					no	no
3	Can all of you please follow the government's instructions, so we can escape the COVID-19 and ser feed?! I feel like a kindergartener who continues to waste more leisure time, because one or two children cannot follow directions.	no					no	no
4	No offense but the crown virus shooting first April really sucks	no					no	no
5	This is the face of someone who has spent 9 hours in personal protective equipment moving critically ill Covid19 patients from London. I feel broken - and we are only at the beginning. I beg people, please do social distance and car isolation #covid19 URL	yes	no	yes	no	yes	no	no
6	Yesterday he knocked at my Tennant's door and told him that he can stay in the property in low free for 5 months. He is autonomous with 4 children. I don't need Boris to tell me what is morally correct. Owners, if you can, do more, do something. #COVID19 #BeNice	yes	no	no	no	no	no	no
7	After COVID-19 is finished, it is better that NO one repeatedly hears anyone dispersing the workers of the lower east. Those people of the supermarkets, the workers of the Dollar General, que fast food, the Walmart employees, that people who did not think they deserved a salary to survive?	no					no	no
8	It is Dr. Osama Riaz. He spent the past weeks screening and treating patients with Corona Virus in Pakistan. He knew there was no EPI. He persisted in any way. Today he lost his own battle with coronavirus, but he gave life and hope to so many more. HE KNOWS HIS NAME. URL	yes	no	yes	no	no	no	no
9	Funny fact: its tradition for Europeans to spread a potentially deadly disease to any other country not fully inhabited by white people &amp; does not assume responsibility for the subsequent devastation &amp; lost its ways	yes	yes	yes	yes	no	yes	yes
10	When this fucking Crown passes, we have to promise ourselves that we'll tell our kids that they survived a zombie apocalypse in 2020.	no					no	no
11	The lack of breathing is a right crown symptom, but you know what gives me breath width? Anxiety. And you know what gives me anxiety? Thinking I have crown.	no					no	yes
12	So, last week I fought COVID-19 &amp; Pneumonia. I've never been so sick in my life. Ioves gentes are at risk, have only misguided symptoms. I want to open up about the difficulties I've experienced these days, as it was in the ICU...	yes	no	yes	no	yes	no	yes
13	Mima mother has a Ph.D. in Corona Virus from WhatsApp University	yes	yes	no	no	no	no	no
14	He told rich friends. Then he cashed a cool $1.4m in stock. Then he voted against the covid-19 rescue account.	yes		yes	yes	yes	yes	yes
15	"Future grandson: ""Hey do you want a crown?"" me: URL"	no					no	no
16	Korea has finished developing the Covid-19 diagnostic kit 10 minutes and is now accelerating production. Plan to export 300,000 test-kits per week - URL	yes	no	yes	no	yes	no	yes
17	COVID is not the only epidemic that is happening right now, and it comes in a bad, bad moment, not that there is ever a good moment, there is a mental health epidemic that is happening, and we will begin to see...	yes	no	yes	no	no	no	yes
18	Celebrités keep trying to sing the virus away like this is a Disney movie or something.	no					no	no
19	Maybe if I develop feelings for covid-19 if he's gone	no					no	no
20	Mina: I'm talking mainly about film here, but here goes. Currently we're turning our factory to make only surgical masks and other medical clothing in short supply. We can make 2 million masks a day, and we're trying to help in every possible way during this time. #COVID19 URL	yes	no	yes	no	yes	no	yes
21	Mies mans House pop 6 Vicodin on Thursday and take care of Saturday morning.	no					no	no
22	I did almost everything right. He worked at home. He saw a friend in the last 10 days. He drank a beer for an hour outside of a pub, on every side of a large table. Fresh air, no contact. He washed me hands 3 times. Still took crown from him. Don't fuck with this thing.	yes	no	yes	no	no	no	no
23	I don't understand how mcdonalds can serve two billion burgers every year.	no					no	no
24	Bro China china is here reading niggas power levels and we can't even get proper tests.	no					no	yes
25	When this fucking crown is over, please invite me out.	no					no	no
26	I miss your ex, I miss life without the crown virus	no					no	no
27	I stopped him and said, 'Look, this isn't a movie. You're not Will Smith in I Am Legend. Go home.'This is the updated compilation of Italian mayors losing it to people violating #Covid19 quarantine. Yes, the subtitles are exact. URL	no					no	yes
28	Please do not take hydroxychloroquine (Plaquenil) plus azithromycin for #COVID19 SE your doctor does not prescribe it. Both drugs incident heart QT interval and may lead to arrhythmias and sudden death, especially if you take other remedies or have a heart condition.	yes	no	yes	no	yes	no	yes
29	Day 5: We rediscovered agriculture	no					no	no
30	This Crown virus will pass to mid-April!!	yes	yes	yes	no	no	no	no
31	Thank you all for your incredible messages of support and encouragement.................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................	no					no	no
32	My fellow citizens, there is no need for PANIC. Essential Commodities, medicines etc. would be available. Center and various state governments will work in close coordination to ensure this. Together, we fight COVID-19 and create a healthy India. Jai Hind!	yes	no	yes	no	yes	no	no
33	Dogs when they discover their owners cannot leave because of the URL of the crown virus	no					no	no
34	No.. one... cleans up as Gaston quarantine like Gaston no one stops spreading COVID-19 like Gaston	yes	yes	no	no	no	no	no
35	That's why beaches don't close in Florida, and that's why they had minimal COVID-19 prevention. Absolute dysfunction. URL	yes	no	yes	yes	yes	no	yes
36	"My favorite thing is the Italian monkeys and regional presidents losing people violating quarantine. Here's a compilation eng subtitled. ""Heord you want launched festivals. I'm wanting to send the policies over. With flimeters. (""Covid19"" #coronavirus URL"")"	no					no	no
37	COVID-19 Finally, some sensible advices from a nurse What I've seen a lot of are recommendations for how to try to avoid getting coronavirus first -- washing hands well, personal hygiene and social distance -- but what I haven't seen a lot of...	no					no	no
38	Corona Virus is not real, the government only wants everyone inside for two weeks to be able to change the batteries in birds.	yes	yes	no	no	no	no	no
39	Day 6 of quarantine: my father gave a speech to the cats about covid-19 URL	no					no	no
40	It is Generation Z. I want to name that because people love to call all 40 and under Millennials. Millennials are not in Spring Break. Millennials are at home yelling at their parents Boomer who won't stay here because they have faith over fear.	yes	no	no	no	no	no	no
41	Crown virus is a real thing. Wow I had no idea! thanks Kylie! URL	no					no	no
42	"The World Health Organization warns young people: ""You are not invincible. ""Covid-19 puèt puts you in hospital for weeks, or even kills you. Even if you don't get sick, the choices you make about where you go might be the difference between life and death for someone else."	yes	no	yes	no	no	no	yes
43	It's man Bill's hospital to be so much.	yes	no	no	no	no	no	no
44	Video of a hospital in Spain. Watch it. Watch it again with the volume up. Now cancel that brunch. Postpone that meeting-up coffee. Control that dinner with friends. Sucks doesn't it? Mas not as hard as this. #COVID Ó19 #coronavirus #StayAtHome URL	no					yes	yes
45	When you're a doorman... and a single-born son... in isolation... and wanting to follow your training...	no					no	no
46	Covid-19 may be great, but I just want to remind you that our God is GREAT.	no					no	no
47	CDC just announced that crown can be spread via Instagram story challenges :-/	yes	yes	no	no	no	no	no
48	Katie Porter's sister, a doctor, is dissolving how star in can save lives during the COVID-19 crisis URL	yes	no	yes	no	no	no	no
49	"Any other random screams ""Corona Virus"" in Cardi's voice?"	no					no	no
50	These workers need protection, health, and bad pay — regardless of the status of citizenship. Their services are ESSENTIAL and do not need a more aggressive dialogue on this topic. HOW CAN YOU LIFE WITHOUT ESTES? I don't want to know!	no					no	yes
51	mi: h-my mother with her PhD in crown virus after graduation of threads whatsapp: URL	no					no	no
52	We invite Son Heung-min to continue the message! URL #StayConnected #StayStrong_ARMY #BTSLoveMyself #ENDviolence	no					no	no
53	White Peoples: COVID-19 Black Peoples: the RONA Gay People : Miss Rona	no					yes	no
54	Corona sis starting from may rect? URL	no					no	no
55	Wow...before this morning....never seen Las Vegas so empty before tbh #coronavirus URL	no					no	no
56	There was an ugly flu that turned in December/beginning Jan. I ́m telling you, it was crown. Bare ppl was malat (including me) complaining about what we now knew as the symptoms of crown.	yes		yes	yes	yes	no	yes
57	So, because of COVID-19 fucking everything, I thought 'Why don't we have a Twitter Ball?' So, without further predeceding, I invite you to all My twitter ball de twitter! You can ask someone to come with you as a friend or as a partner. The twitter Ball will be held on March 25th. Interaction to join!	no					no	no
58	Batman bussing tables now.	no					no	no
59	From this to this URL	no					no	no
60	Today we lose 2 colleagues, a young companion of adult cardiology &amp; a medical oncologist because of COVID-19. We pass to pray for them, and yet this war is just beginning, without end in sight! We ask for your prayers We ask our politicians to help and act aggressively for support!	yes	no	yes	no	no	no	no
61	China has 24 times more people than Italy...	yes	no	no	no	no	no	no
62	After all this is done, please remember in future job interviews to ask them what their company has done to protect its employees regarding the global situation COVID-19. It cannot be stopped from working for weakened companies.	no					no	no
63	my 15 year old pelstone gummies fighting crown URL	yes	yes	no	no	no	no	no
64	Iceland was testing its entire population. Read again: THE INTERIOR POPULATION.	yes		yes	no	yes	no	no
65	But whore sayings— URL	no					no	no
66	Hello. Yes, it originates in China, but the technical term is Covid-19 Your mother originates from the back of a Buick Skylark, but we call her Judith Don; do not be evil.	yes	no	no	yes	no	no	no
67	Dominican Republic found cure for Covid-19	yes	yes	no	no	no	no	no
68	I ate that pure rock we didn't build the same thing.	no					no	no
69	The epidemiologist who helped eradicate the smallpox says Trump's premature handling of COVID-19 is the most irresponsible act of an elected official I have ever witnessed in my life.	yes	no	yes	yes	no	no	yes
70	Here is a useful summary of the current thinking among public health experts on how we should address the fight against COVID-19 in the coming weeks. URL	no					no	no
71	celebrities singing videos like corona virus agora exceeds over 230k cases all over the world URL	yes	no	yes	no	no	no	no
72	Every senator who has traded insiders after COVID-19 briefing must immediately resign. Yes, which is true for both sides.	no					no	no
73	ICE ends up being doctors. There are no fucking words. Please donate if you can	yes		yes	yes	yes	yes	yes
74	Bro idk what's going on, but I agree with them. Fuck mini coopers. Tiny ass cars always parking like a parking spot until you get close.	no					no	no
75	Our professional doctors are heroes putting their lives online to keep our homeland up. Here's a look at how an ER doctor who already fights in front lines of a crisis spends a day in this. A good reminder for us to help them stay at home.	no					no	no
76	Dear Allah, protect Gaza at all costs.	no					no	no
77	President of Slovakia who appears in his dripping crown, hand-tailored weaving combining surgical mascaras..... Impeccable URL	yes	no	no	no	no	no	no
78	This episode of Black Mirror is too fucking long	no					no	no
79	It's for CORONA your fat fat black stink stink stink stink fat because you pull me off the fucking agenda with you tripflin black sock rasist ass your fat fat bitch oompa loorpa body ass whore I come up there and I'm beat fuck you	no					no	no
80	Frat these the only 3 songs I hear on my Lord TL, take this crown away agora! URL	no					no	no
81	Not all heroes wear capes, sometimes wear manta and netflix n chill for 2 weeks	no					no	no
82	Sue always the comfortable 3G hits spots	no					no	no
83	I crowned myself after she discovered she infested Harvey Weinstein URL	no					no	no
84	Germany conducts 160k Covid-19 tests per week. It has a total of 35k fans, 10k ordered to be done by the govt. It has converted a new 1k bed hospital in Berlin. Death rates is tiny bcos mass tests allow quarantine and bcos has fewer unreported cases.	yes	no	yes	no	yes	no	yes
85	People after covid-19 quarantine: URL	no					no	no
86	Breaking: A child under the age of 18 died de coronavirus in Los Angeles, public health officials announce, in what they believe to be the first infantile death of the virus in the USA. A devastating reminder that COVID-19 infects people of all ages, LA official de santé says.	yes	no	yes	no	yes	no	yes
87	Addressing the nation in fighting the COVID-19 threat. #IndiaFightsCorona URL	no					no	no
88	Y'all dirty mfs brought crown to the house of Miami &amp; now has increased 88% in 48HRS....	yes	yes	yes	yes	yes	yes	yes
89	All those who come out of Corona as a bartender	no					no	no
90	.@realdonaldtrump just said: If it were from the doctors, they would close the whole world... Actually, if it were from us, we would save as many people as possible. We would follow science & evidence. We would never put politics before public health #covid19	yes	no	no	yes	yes	no	yes
91	One of my collaborators died today from #COVID19. Not much older, great guy. We were sitting together a couple of weeks ago, talking about anything. The next time I saw him, he was admitted to the ICU. And it was the last time I saw him.	yes	no	no	no	no	no	no
92	If you tell me in Anniversary News that by 3 months of 2020: -Kobe Bryant is dead -We'd is quarantined of COVID-19 -Schools and sports is closed -Tom Brady is a Tampa Bay Buccaneer I wouldve legitimately thought the world was finding.	yes	no	no	no	no	no	no
93	Ya Allah, you gave them a huge test much more than we around the globe. If this is for their sake, give them strength to cross.	no					no	no
94	One day, if he wanted to, and when all this is over, I'd like to practice my freecks with him on goal!	no					no	no
95	Threat: there is a strong and understandable desire to return to better times and a functioning economy. But you don't lose in anyone who doesn't have such a functioning economy and society at pate covid-19 continues to disperse uncontrolled in our big cities.	no					no	no
96	Mitch abandoned bipartisan work on the COVID-19 bill, then tried to approve a non-strings attached corporate bailout that did not sufficiently help health workers, rescue workers, and the working class families. Focus on the PEOPLE, USERID not Wall Street.	yes		yes	yes	yes	no	yes
97	Warning. This man was too afraid to infect his family and thought he didn't get the proper treatment, because they are poor, so the government has thyred to ensure FILIPINOS that when they have the virus, they can get to a hospital &amp; be treated for free!	no					yes	yes
98	She's my mother. She's my hero. She's a 60-year-old primary care doctor testing patients for #COVID19. And she's putting her health in line to test patients, give them the care they need, and do everything she can to prevent the spread of the community and the overload of our hospitals.	yes	no	no	no	no	no	no
99	Exactly a month ago Italy found its first case of #coronavirus. I'll tell you what happened in just a month. I hope you can learn from our mistakes.	yes	no	yes	no	no	no	no
100	This is director RITM Dr. Celia Carlos, who was allegedly unfairly expelled from her position because she refused to prioritize the treatment of COVID-19 tests of asymptomatic politicians and other VIPs on patients with symptoms. RESPECT! #Justice forDrCarlos #NOTOVIPTesting URL	yes	no	yes	yes	yes	no	yes
101	To be clear, Sen Loeffler not only stock of dumping, illegally using non-public information (apparently), she used proceeds to buy shares in a TELEWORKING SOFTWARE company, taking advantage of the collapse #COVID19 induced by the economy.	yes	no	yes	yes	yes	no	yes
102	Texas, NY, &amp; Cali are the 3 largest states. Cuomo &amp; Newsom are aggressive, *knowing* what's coming. In Texas, Greg Abbott is fake coughing at reporter's questions, and Sen Cornyn tweeting Corona beer pics 2 weeks ago my state will be a dystopian rodeo. Book it.	yes	no	yes	yes	yes	yes	yes
