tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	For the average American the best way to say if you have covid-19 is to cough on a rich person's face and wait for the results of your tests	no					no	no
2	This is bullshit.	no					no	no
3	Can you please just follow the government's instructions so that we can hit this COVID-19 and be done?! I feel like a daycare center that continues to lose more recess time because one or two children cannot follow the instructions.	no					no	no
4	No offense, but the crown virus disappears before April really sucks	no					no	no
5	This is the face of someone who just spent 9 hours on personal protection team moving sick critic Covid19 patients around London. I feel broken - and we're just at first. I'm begging people, please do social distancing and self-insulation #covid19 URL	yes	no	yes	no	yes	no	no
6	Yesterday I called my Tennant's door and told him that he could stay on the property for free for 5 months. He works on his own with 4 children. I don't need Boris to tell me what is morally right. Owners, if they can, do more, do something. #COVID19 #BeNice	yes	no	no	no	no	no	no
7	After the COVID-19 is over, you better never listen to anyone else's garbage workers. Those in the grocery store, General Dollar's workers, those fast food workers, Walmart's employees, those people you didn't think deserved a salary to survive?	no					no	no
8	This is Dr. Usama Riaz. He spent the last weeks of detection and treatment of patients with the Crown virus in Pakistan. He knew there was no EPI. He persisted anyway. Today he lost his own battle with the coronavirus, but gave life and hope to many more.	yes	no	yes	no	no	no	no
9	fun fact: its tradition for Europeans to spread a potentially deadly disease to all other countries not fully inhabited by white people &amp; not to take responsibility for subsequent devastation &amp; lost lives	yes	yes	yes	yes	no	yes	yes
10	When this shit from Corona passes we have to promise ourselves that we will tell our children to survive a zombie apocalypse in 2020.	no					no	no
11	So the lack of breath is a correct crown symptom, but you know what also gives me lack of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have crown.	no					no	yes
12	So, last week I've been fighting COVID-19 &amp; Pneumonia. I've never been so sick in my life. Young people are not at risk, they only have mild symptoms. I want to open up about the difficulties I've been through these last few days, how it was at the ICU...	yes	no	yes	no	yes	no	yes
13	My mother has a Ph.D. in Corona Virus from WhatsApp University	yes	yes	no	no	no	no	no
14	He told the rich friends, and then collected $1.4 million in cash in stock, then voted against Covid-19's relief bill.	yes		yes	yes	yes	yes	yes
15	future grandson: Grandpa wants a crown?	no					no	no
16	Korea finished developing the Covid-19 10-minute diagnostic kit and is now increasing production. They plan to export 300,000 test kits per week - URL	yes	no	yes	no	yes	no	yes
17	There's a big elephant in the room right now COVID isn't the only epidemic that's happening right now and it's come at a bad time isn't that there's a good time there's a mental health epidemic going on, and we're gonna start seeing...	yes	no	yes	no	no	no	yes
18	Celebrities keep trying to sing the virus like this is a Disney movie or something.	no					no	no
19	Maybe if I develop feelings for Covid-19 will go away	no					no	no
20	Mine: I'm talking mostly about movies here, but here it goes. Currently we're turning our factory to make only surgical masks and other medical garments in short supply. We can make 2 million masks a day, and we're looking to help in any way possible during this time. #COVID19 URL	yes	no	yes	no	yes	no	yes
21	My men's house jumped 6 Vicodin on Thursday and had that cure for Saturday morning.	no					no	no
22	I did almost everything right. I worked at home. I saw a friend in the last 10 days. I had a beer for an hour outside a pub, on both sides of a large table. Fresh air, no contact. Washed my hands 3 times. Still trapped crown of it. Don't fuck with this thing.	yes	no	yes	no	no	no	no
23	I don't understand how McDonalds can serve two billion burgers every year, but when I order five million in the unit, it goes through the system.	no					no	no
24	Bro China is out here reading black power levels and we can't even get proper tests	no					no	yes
25	When this crown shit is over, please invite me out.	no					no	no
26	Everyone misses your ex, I miss life without the crown virus.	no					no	no
27	I stopped him and said, 'Look, this isn't a movie. You're not Will Smith in I Am Legend. Go home.'This is the updated compilation of Italian mayors losing it to people who violate quarantine #Covid19. Yes, the subtitles are exact.	no					no	yes
28	Please do not take hydroxychloroquine (Plaquenil) plus azithromycin for #COVID19 unless prescribed by your doctor. Both medicines affect the QT interval of your heart and may lead to arrhythmias and sudden death, especially if you are taking other medicines or have a heart condition.	yes	no	yes	no	yes	no	yes
29	Day 5: We have rediscovered agriculture	no					no	no
30	This virus of Corona will pass in mid-April!! Talk about it to existence	yes	yes	yes	no	no	no	no
31	Thank you all for your incredible messages of support and encouragement..........Many of you asked what it was like in the ER right now. I want to share a little bit with you. Please RT: One day in the life of an ER Doc - A brief shipment of the front line #COVID19:	no					no	no
32	My fellow citizens, there is no need for panic. Essential products, medicines, etc. would be available. Center and several state governments will work closely to ensure this. Together, we will fight COVID-19 and create a healthier India. Jai Hind!	yes	no	yes	no	yes	no	no
33	Dogs when they found out that their owners can't get out because of the crown virus URL	no					no	no
34	No... one... cleans up like Gaston quarantines like Gaston no one stops spreading COVID-19 like Gaston	yes	yes	no	no	no	no	no
35	This is why the beaches have not closed in Florida, and why they have had minimal COVID-19 prevention. Absolute dysfunction. URL	yes	no	yes	yes	yes	no	yes
36	My new favorite thing is the Italian mayors and regional presidents losing information to people violating quarantine. Here's a compilation subtitled Eng. I heard you want to organize graduation parties. I'm going to send it to the police. With flamethrowers.	no					no	no
37	COVID-19 Finally, some sensible advice from a nurse What I've seen a lot of are recommendations for how to try to avoid getting coronavirus first -- good handwashing, personal hygiene and social distancing -- but what I haven't seen a lot of is advice to...	no					no	no
38	Corona Virus is not real, the government only wants everyone inside for two weeks so they can change the batteries in the birds.	yes	yes	no	no	no	no	no
39	day 6 of quarantine: my father gave a talk to the cats about covid-19 URL	no					no	no
40	This is the Z generation. I want to name that because people love to call everyone 40 and under Millennials. Millennials are not in Spring Break. Millennials are at home yelling at their parents Boomer who didn't sit down because they have faith in fear.	yes	no	no	no	no	no	no
41	Hey happy guys auto quarantine. Crown virus is a real thing. Wow I had no idea! thanks Kylie!	no					no	no
42	"The World Health Organization warns young people: ""You are not invincible. COVID-19 could put you in hospital for weeks, or even kill you. Even if you don't get sick, the decisions you make about where you're going could be the difference between life and death for someone else."	yes	no	yes	no	no	no	yes
43	This man, Bill from the hospital, had to be a lot.	yes	no	no	no	no	no	no
44	Video of a hospital in Spain. Look at it. Look at it again with the volume up. Now cancel that brunch. Defer the coffee meeting. Check out the dinner with friends. Isn't it? But not as hard as this #COVIDø19 #coronavirus #StayAtHome URL	no					yes	yes
45	When you're a doorman... and an only child... in isolation yourself... and trying to keep up with your training... you came up with this yourself! I'm so impressed. #coranavirus #StayHomeStaySafe URL	no					no	no
46	Covid-19 may be great, but I just want to remind everyone that our God is GREAT.	no					no	no
47	CDC has just announced that crown can be spread through the challenges of Instagram history :-/	yes	yes	no	no	no	no	no
48	Katie Porter's sister, a doctor, is breaking down how to stay in her can save lives during the COVID-19 crisis URL	yes	no	yes	no	no	no	no
49	Does anyone else just randomly scream the Crown virus in Cardi's voice?	no					no	no
50	These workers need protection, medical care and sickness pay, regardless of citizenship status. Their services are ESSENTIAL and we need to have a more aggressive dialogue on this issue. What would life be like without them? I don't want to know!	no					no	yes
51	me: h- my mother with her doctorate in crown virus after graduating from whatsapp threads: URL	no					no	no
52	Take a look at the hope message to overcome #COVID19 by taking care of each other! We invite Son Heung-min to continue the message! URL #StayConnected #StayStrong_ARMY #StayStrong_ARMY #StringStrong_ARMY #BTSLoveMyself #ENDviolence	no					no	no
53	White people: COVID-19 Black people: the gay people of RONA : Miss Rona	no					yes	no
54	Crown ifs you go for right may? URL	no					no	no
55	Wow... taken this morning... never saw Las Vegas this empty before tbh #Coronavirus URL	no					no	no
56	There was an unpleasant flu that came out around in December/early January. I'm telling you, it was crown. Bare ppl were sick (including me) complaining about what we now know as crown symptoms.	yes		yes	yes	yes	no	yes
57	So, because COVID-19 ruined everything, I thought 'Why don't we have a Twitter dance?' So, without further ado, I invite you all to my twitter dance! You can ask someone to go with you as a friend or as a partner. The dance will be held on March 25th. Interact to join!	no					no	no
58	Batman knocking tables now, times are difficult.	no					no	no
59	From this to this URL	no					no	no
60	Today we lost 2 colleagues, a young companion of adult cardiology &amp; a medical oncologist due to COVID-19. We stop to pray for them, And yet this war is starting, without end in sight! We ask your prayers We ask our politicians to help and act aggressively for support!	yes	no	yes	no	no	no	no
61	China has 24 times more people than Italy...	yes	no	no	no	no	no	no
62	After all this, please remember in future job interviews to ask them what your company did to protect its employees from the global situation COVID-19. You cannot be risking working for disgusting companies.	no					no	no
63	my stone rubbers from 15 years ago fighting crown URL	yes	yes	no	no	no	no	no
64	Iceland tested its entire population. Read again: HIS INTEGRATED POPULATION.	yes		yes	no	yes	no	no
65	But bitch that you all said- URL	no					no	no
66	Yes, it originated in China, but the technical term is Covid-19 Your mother originated from the back of a Buick Skylark, but we call her Judith Donň not bad.	yes	no	no	yes	no	no	no
67	Dominican Republic found the cure for Covid-19	yes	yes	no	no	no	no	no
68	I was eating that pure rock that we didn't build the same.	no					no	no
69	The epidemiologist who helped eradicate the smallpox says that Trump's early management of the COVID-19 is the most irresponsible act of an elected official I have witnessed in my life.	yes	no	yes	yes	no	no	yes
70	Here is a useful summary of the best current thinking among public health experts on how we should address the fight against COVID-19 in the coming weeks.	no					no	no
