tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	For the average American the best way to say if you have covid-19 is coughing in a rich person face and waiting for their test results	no					no	no
2	This is bullshit.	no					no	no
3	Can you just follow the government's instructions so that we can drop this VOCID-19 and be done?! I feel like a kindergarten that continues to waste more recreational time because one or two children cannot follow the instructions.	no					no	no
4	No offense but the corona virus disappearing before April really sucks	no					no	no
5	It's the face of someone who just spent 9 hours in personal protective equipment moving the seriously ill Covid19 patients around London. I feel broken - and we're only at the beginning. I beg people, please do social distance and self isolation #covid19 URL	yes	no	yes	no	yes	no	no
6	Yesterday, I knocked on my Tennant's door and told him that he could stay in the property for free for 5 months. He is independent with 4 children. I don't need Boris to tell me what is morally correct. Owners, if you can, do more, do something. #COVID19 #BeNice	yes	no	no	no	no	no	no
7	After the end of the COVID-19, it's better that I don't hear anyone getting rid of the workers anymore. These people in the grocery store, the General Dollar workers, those fast food workers, Walmart employees, those people you didn't even think you deserved a salary to survive?	no					no	no
8	It's Dr. Usama Riaz. He spent the last weeks of screening and treating patients with Corona Virus in Pakistan. He knew there was no PPE. It persists anyway. Today, he lost his own battle against Coronavirus, but he gave life and hope to so many others.	yes	no	yes	no	no	no	no
9	fun made: its tradition for Europeans to spread a potentially fatal disease to all other countries not fully inhabited by whites &amp; not to take responsibility for the subsequent devastation &amp; of lost lives	yes	yes	yes	yes	no	yes	yes
10	When this shit from Corona passes, we have to promise that we're going to tell our kids that we survived a zombie apocalypse in 2020.	no					no	no
11	The lack of air is a symptom of the corona, but you know what also gives me the lack of air? Anxiety. And you know what gives me anxiety? To think that I have the corona.	no					no	yes
12	So, last week, I fought COVID-19 &amp; Pneumonia. Never in my life, I was so sick. Young people are not at risk, they have only mild symptoms. I want to open myself up to the difficulties I've experienced in recent days, which was like in UTI...	yes	no	yes	no	yes	no	yes
13	My mother has a PhD in Corona Virus at WhatsApp University	yes	yes	no	no	no	no	no
14	He told rich friends, then paid $1.4 million in stock, then voted against the Covid-19 relief bill.	yes		yes	yes	yes	yes	yes
15	"future grandson: ""Hey grandfather wants a crown?"" me: URL"	no					no	no
16	Korea has finished developing the Covid-19 diagnostic kit 10 minutes and is now developing production. They plan to export 300,000 test kits per week - URL	yes	no	yes	no	yes	no	yes
17	There's a big elephant in the room right now, it's not the only epidemic right now, and it happens at a bad time, not that there's a good time, a mental health epidemic happens, and we're gonna start seeing...	yes	no	yes	no	no	no	yes
18	Celebrities keep trying to sing the virus like it's a Disney movie or something.	no					no	no
19	Maybe if I develop feelings for Covid-19 he'll leave.	no					no	no
20	Threat: I'm talking mostly about movies here, but here we are. We're currently turning our factory to make only surgical masks and other short supply medical clothing. We can make 2 million masks a day, and we're looking to help in any way possible during this time. #COVID19 URL	yes	no	yes	no	yes	no	yes
21	My Mans House blew up 6 Vicodin Thursday and got this medicine Saturday morning.	no					no	no
22	I've done almost everything right. I've worked at home. I've seen a friend in the last 10 days. I've had a beer for an hour outside a pub, on both sides of a large table. Fresh air, no contact.	yes	no	yes	no	no	no	no
23	I don't understand how mcdonalds can serve two billion burgers every year, but when I order five million in training, it invades the system	no					no	no
24	Bro China is here to read the power levels of niggas and we can't even get proper tests	no					no	yes
25	When this crown shit is over, please invite me out.	no					no	no
26	You all miss your ex, I miss life without the corona virus	no					no	no
27	I stopped it and said, 'Look, it's not a movie. You're not Will Smith in I Am Legend. Go home.'This is the updated compilation of Italian mayors losing it to people violating quarantine #Covid19. Yes, the subtitles are correct. URL	no					no	yes
28	Please do not take hydroxychloroquine (Plaquenil) more azithromycin for #COVID19 unless prescribed by your doctor. Both medicines affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other medicines or have heart disease.	yes	no	yes	no	yes	no	yes
29	Day 5: We rediscovered agriculture	no					no	no
30	This Corona virus will pass by mid-April!! Talking about it to existence	yes	yes	yes	no	no	no	no
31	Thank you all for your incredible messages of support and encouragement.................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................	no					no	no
32	My fellow citizens, there is absolutely no need for PANIC. Essential products, medicines, etc. would be available. The Centre and various state governments will work closely to ensure this. Together, we will fight COVID-19 and create a healthier India. Jai Hind!	yes	no	yes	no	yes	no	no
33	Dogs when they have discovered their owners cannot leave because of the URL of the corona virus	no					no	no
34	We clean up like Gaston's quarantines like Gaston, no one stops spreading COVID-19 like Gaston.	yes	yes	no	no	no	no	no
35	That's why the beaches didn't close in Florida, and why they had a minimum COVID-19 prevention. Absolute dysfunction. URL	yes	no	yes	yes	yes	no	yes
36	My favorite new thing is the Italian mayors and regional presidents who lose information to people who violate the quarantine. Here's a subtitled compilation in English..I heard you would like to organize graduation parties. I'll send the police. With flamethrowers.	no					no	no
37	COVID-19 Finally, some sensible advice from a nurse.What I saw many are recommendations to try to avoid getting coronavirus first -- good handwashing, personal hygiene and social distance -- but what I didn't see much is advice to...	no					no	no
38	Corona Virus is not real, the government just wants everyone inside for two weeks so they can change the batteries in the birds.	yes	yes	no	no	no	no	no
39	day 6 of quarantine: my father gave a lecture to cats on the covid-19	no					no	no
40	It's the Z generation. I want to name it because people like to call everyone 40 and under Millennials. Millennials are not in Spring Break. Millennials are at home yelling at their parents Boomer who won is not sitting because they have faith in fear.	yes	no	no	no	no	no	no
41	Happy guys auto quarantine. Corona virus is a real thing. wow I had no idea! thanks Kylie! URL	no					no	no
42	The World Health Organization warns young people: You are not invincible.. COVID-19 could put you in hospital for weeks, or even kill you. Even if you don't get sick, the choices you make where you go might be the difference between life and death for someone else.	yes	no	yes	no	no	no	yes
43	This man, Bill from the hospital, is so much.	yes	no	no	no	no	no	no
44	Video of a hospital in Spain. Watch it. Watch it again with volume up. Now cancel this brunch. Postponing this coffee meet-up. Rain check that dinner with friends. Sucks does it? But not as hard as this #COVIDY19 #coronavirus #StayAtHome URL	no					yes	yes
45	When you are a goaltender... and a unique child... in isolation from yourself... and trying to follow your training... I am so impressed. #coronavirus #StayHomeStaySafe URL	no					no	no
46	Covid-19 might be great, but I just want to remind you that our God is GREAT.	no					no	no
47	CDC has just announced that corona can be disseminated via Instagram story challenges:-/	yes	yes	no	no	no	no	no
48	Katie Porter's sister, a doctor, is breaking down how to stay in can save lives during the COVID-19 crisis URL	yes	no	yes	no	no	no	no
49	Has anyone else randomly shouted the Corona virus in Cardi's voice?	no					no	no
50	These workers need protection, health care and sickness pay, regardless of citizenship status. Their services are ESSENTIAL and there is a need for a more aggressive dialogue on this issue. What would life look like without them? I don't want to know!	no					no	yes
51	me: h- my mother with her PhD in corona virus after graduating from threads whatsapp: URL	no					no	no
52	Check out BTS's hope message to overcome #COVID19 by taking care of each other! We invite His Heung-min to continue the message! URL #StayConnected #StayStrong_ARMY #BTSLoveMyself #ENDviolence	no					no	no
53	Whites: COVID-19 Blacks: gay people RONA: Miss Rona	no					yes	no
54	corona if you leave by right May? URL	no					no	no
55	wow... taken this morning....never seen Vegas this void before tbh #Coronavirus URL	no					no	no
56	There was a bad flu that turned around in December / early Jan. I tell you, it was corona. Bare ppl were sick (including me) complaining about what we now know as the symptoms of corona.	yes		yes	yes	yes	no	yes
57	So, because of the COVID-19 fucking everything in the air, I thought 'Why don't we have a Twitter prom?' So, without further ado, I invite you all to my twitter's prom! You can ask someone to go with you as a friend or as a partner. The prom will take place on March 25th. Interact to join!	no					no	no
58	Batman's going to get tables. It's hard.	no					no	no
59	From there to this URL	no					no	no
60	Today we lost 2 colleagues, a young companion of adult cardiology &amp; a medical oncologist due to the COVID-19. We stop to pray for them, And yet this war is only beginning, without any end to the sight! We ask your prayers We ask our politicians to help and act in a rude way for support!	yes	no	yes	no	no	no	no
61	China has 24 times as many people as Italy...	yes	no	no	no	no	no	no
62	After all this, remember in the upcoming job interviews to ask them what their company has done to protect their employees with regard to the overall COVID-19 situation.	no					no	no
63	my silex stone gums from 15 years ago combats corona URL	yes	yes	no	no	no	no	no
64	Iceland has tested its entire population. Read it again: HIS INLAND POPULATION.	yes		yes	no	yes	no	no
65	But bitch you all said- URL	no					no	no
66	Hello. Yes, he is from China, but the technical term is Covid-19 Your mother is from the back of a Buick Skylark, but we call him Judith Donňt being mean.	yes	no	no	yes	no	no	no
67	Dominican Republic has found the cure for Covid-19	yes	yes	no	no	no	no	no
68	I was eating that ROCK we didn't do the same.	no					no	no
69	The epidemiologist who helped eradicate smallpox says Trump's early treatment of COVID-19 is the most irresponsible act of an elected official I have ever seen in my life.	yes	no	yes	yes	no	no	yes
70	Here is a useful summary of the best current thinking among public health experts on how we need to address the fight against COVID-19 in the coming weeks.	no					no	no
71	celebrities making singing videos like corona virus now tops over 230k cases worldwide URL	yes	no	yes	no	no	no	no
72	All senators who did insider business after this COVID-19 briefing should resign immediately. Yes, that applies to both parties.	no					no	no
73	ICE pretended to be doctors, there's no fucking words.	yes		yes	yes	yes	yes	yes
74	Bro idk what's going on, but I agree with them. Kiss the mini-coopers. Little ass cars always like a parking spot until you're closer.	no					no	no
75	Our health professionals are heroes who put their lives at stake to maintain our country. Here's a look at how an emergency doctor who has already fought on the front lines of a crisis spends a day in this one. A good reminder for us to help them stay home.	no					no	no
76	Dear Allah, please protect Gaza at all costs.	no					no	no
77	President of Slovakia presenting himself in his gout-to-drop crown, the hand-tailored tissue corresponding surgical masks..... Impeccable URL	yes	no	no	no	no	no	no
78	This episode of Black Mirror is too long	no					no	no
79	It's for the CORONA, you big white fat bitch who smells like the big bitch why you took me out of your fucking schedule with your racist white triflin ass dirty your big fat bitch oompa tearpa bitch body I come up there and I'm gonna hit you fucking bitch	no					no	no
80	Bro those only 3 songs I hear on my TL Lord take this crown away now! URL	no					no	no
81	Not all heroes wear capes, sometimes they just wear a cover and netflix n chill for 2 weeks	no					no	no
82	Its always comfortable spots hit 3G	no					no	no
83	After finding out she infected Harvey Weinstein's URL	no					no	no
84	Germany carries out 160k Covid-19 tests per week. It has a total of 35k fans, 10k ordered by the government. It has converted a new 1k hospital bed in Berlin. Its mortality rate is tiny bcos its mass test allows quarantine and bcos it has fewer cases not reported.	yes	no	yes	no	yes	no	yes
85	People after 40 covid-19: URL	no					no	no
86	Breaking: A child under the age of 18 died of coronavirus in Los Angeles, public health officials announce, in what is supposed to be the first death of children of the virus in the United States..A devastating reminder that COVID-19 infects people of all ages, says the LA health officer.	yes	no	yes	no	yes	no	yes
87	Addressing the nation to combat the COVID-19 threat. #IndiaFightsCorona URL	no					no	no
88	The dirty MFs have brought Corona back from Miami &amp; now it has increased by 88% in 48HRS....	yes	yes	yes	yes	yes	yes	yes
89	Everybody comes out of the crown as a bartender	no					no	no
90	.@realdonaldtrump just said: If it were the doctors, they would shut the whole world down.In fact, if it were us, we would save as many people as possible. We would follow the science & evidence. We would never put politics before the health of the public #covid19	yes	no	no	yes	yes	no	yes
91	One of my colleagues died today of #COVID19. Not much older, big guy. We were just sitting together a few weeks ago, talking about anything. The next time I saw him, he was admitted to the ICU. And that was the last time I saw him. My whole body feels numb.	yes	no	no	no	no	no	no
92	If you told me about the New Year that in the 3 months of 2020: -Kobe Bryant is dead -We would be quarantined from COVID-19 -Schools and sports are closed -Tom Brady is a Tampa Bay Buccaneer I legitimately thought that the world was going to end.	yes	no	no	no	no	no	no
93	Allah, you have already given them much more trials than we all over the world. If this is for their own good, give them the strength to go through it.	no					no	no
94	One day, if he wants, and when all this is over, I'd like to practice my freeckicks with him on purpose! What do you think?	no					no	no
95	Threat: There is a strong and understandable desire to return to better times and a functioning economy. But we must not lose to anyone that there is no economy and a functioning society as long as Covid-19 continues to spread uncontrolledly in our larger cities.	no					no	no
96	Mitch abandoned the bipartite work on the COVID-19 bill, then tried to adopt an untied corporate bailout that did not sufficiently assist health workers, first responders, and working class families.	yes		yes	yes	yes	no	yes
97	Warning trigger. This man was too afraid to infect his family and thought he would not get proper treatment because they are poor so he just took his own life. GOVERNMENT needs to ensure Filipinos that when they got the virus, they can go to a hotel &amp; be treated for free!	no					yes	yes
98	She's my mother. She's my hero. She's a 60-year-old primary care doctor who tests patients for #COVID19. She puts her health at stake to test patients, get the care they need, and do everything she can to prevent the spread of the community and the overload of our hospitals.	yes	no	no	no	no	no	no
99	Exactly a month ago, Italy found its first case of #coronavirus. I'll tell you what happened in just a month. I hope you can learn from our mistakes.	yes	no	yes	no	no	no	no
100	It was the director of RITM, Dr. Celia Carlos, who would have been unfairly removed from her position because she refused to prioritize the treatment of COVID-19 tests by asymptomatic politicians and other VIPs compared to patients with symptoms. #Justice forDrCarlos #NOTOVIPTesting URL	yes	no	yes	yes	yes	no	yes
101	To be clear, Sen Loeffler not only undervalued shares, illegally using non-public information (presumably), she used the product to buy shares in a TELEWORKING SOFTWARE company, taking advantage of the collapse of the COVID-induced economy19.	yes	no	yes	yes	yes	no	yes
102	Texas, NY, &amp; Cali are the 3 biggest states. Cuomo &amp; Newsom are aggressive, *knowing* what's coming. In Texas, Greg Abbott is a fake cough to a journalist's questions, and Sen Cornyn tweets photos of Corona beer in 2 weeks my condition will be a dystopic rodeo. Book it.	yes	no	yes	yes	yes	yes	yes
103	I hear rumours about the #NationalGuard troops supporting some national quarantine. Let me be clear: There have been no such discussions.... For news about the great work the Guard is doing to support the #Covid_19 response, click on the link. #COVID19 URL	yes	no	yes	no	yes	no	no
104	FRIENDS. The thing about healing nature and wildlife back because of COVID-19 is false. URL	yes	yes	yes	no	yes	no	no
105	Due to the large amount of speculation about #COVID19, it is a reminder to rely on official sources for accurate information. Help control the spread of rumors by sharing this page: URL URL	no					no	no
106	Be vigilant for misinformation, rumors, and factual errors. Go to sources of confidence for information on #COVID19! URL	no					no	no
107	Let's remember that two Republican senators were involved this weekend in an insider trade scandal, selling millions in stock while telling voters that COVID-19 was a joke.	yes	no	yes	yes	yes	yes	yes
108	Fox News says he never called COVID-19 a prank. Let's check the receipts. URL	yes	no	yes	yes	yes	no	no
